n,mean,median,std,p25,p75,p10,p90,p_positive,min,max,view,metric,bin,horizon
783,-0.0024080435387110848,-0.0013054830287206,0.03983405890670372,-0.0089516267860217,0.00490774189537065,-0.02108550886911418,0.01310626842600472,0.4163473818646232,-0.3543689320388349,0.5198973042362003,raw,rsi_distance,fail_0_2,fwd_30m
2903,0.0004563169229233242,0.0,0.029420164301047626,-0.0074324848416054,0.00768439875368425,-0.02257012305496936,0.022974253526832817,0.486737857388908,-0.3259668508287293,0.3140869565217393,raw,rsi_distance,fail_10_20,fwd_30m
3905,0.004100095168079918,0.0011078770124874,0.04969727609701541,-0.0071817731550272,0.0123746867167918,-0.0260610958461289,0.03404743771729933,0.5503201024327785,-0.3670103092783505,0.88005,raw,rsi_distance,fail_20p,fwd_30m
1123,-0.0012410258160778667,-0.0012536979580057,0.03040106321911985,-0.00910504069667635,0.0045838816421408,-0.02630248348463644,0.0174943566591423,0.41317898486197685,-0.1895261845386533,0.3875,raw,rsi_distance,fail_2_5,fwd_30m
1682,-0.0005631603685954849,-0.0013543735875556,0.051887840261744485,-0.0088202902306296,0.00461934325728215,-0.022706201083684496,0.016104290111210708,0.4084423305588585,-0.535681186283596,1.48,raw,rsi_distance,fail_5_10,fwd_30m
7180,-0.0040676687103214275,-0.0018387182776420999,0.028221197909659133,-0.008130081300813,0.002094764366931125,-0.02237138527074623,0.009950647221558001,0.34331476323119775,-0.4935304990757856,0.685907436297452,raw,rsi_distance,passing_side,fwd_30m
4566,-0.0034163243692425663,-0.0016592134661951,0.028305563083363485,-0.008320837716618752,0.003001735445041225,-0.02234282291191235,0.0124193548387096,0.3718791064388962,-0.4935304990757856,0.4000000000000001,raw,sma_spread_distance,fail_0.25_1,fwd_30m
3606,-0.001357483681705457,-0.0009578544061302,0.048379833924124434,-0.011295023582087876,0.0047936737527689,-0.0324746427196517,0.0211954261822343,0.4034941763727121,-0.3543689320388349,1.013318073041307,raw,sma_spread_distance,fail_0_0.25,fwd_30m
3534,-0.0006873541924258423,-0.0017103541908107499,0.03641018506150658,-0.007523022148304325,0.00408454687868005,-0.019754273062344948,0.01409892991283395,0.3938879456706282,-0.3464566929133857,1.48,raw,sma_spread_distance,fail_1_5,fwd_30m
1133,-0.0027787938690624512,-0.0016392589508742,0.016305234796000385,-0.0067742390741873,0.0030602006688963,-0.013866722627077539,0.010305035849136661,0.3918799646954987,-0.213963963963964,0.0386294416243655,raw,sma_spread_distance,fail_5p,fwd_30m
4737,0.002105720686535556,0.0007297494526879,0.040310514230267394,-0.0065405405405405,0.0104429316374407,-0.023249294390004078,0.028222896158488144,0.5309267468862149,-0.535681186283596,0.6041666666666667,raw,sma_spread_distance,passing_side,fwd_30m
707,-0.0047648705659332335,-0.0017086715079026,0.03850119262619311,-0.011224773644594649,0.00573280098280095,-0.0244999999999999,0.014936917834445139,0.4214992927864215,-0.4358974358974358,0.3407960199004975,raw,rsi_distance,fail_0_2,fwd_60m
2545,0.0006097356378294427,0.0,0.035445901778607486,-0.0086047940995697,0.01,-0.02881182750713708,0.026917337937964796,0.48801571709233793,-0.5438121047877146,0.307602128235188,raw,rsi_distance,fail_10_20,fwd_60m
3586,0.006880193540978592,0.00162335307511245,0.09530300276398772,-0.008137540958129175,0.015007427443577075,-0.02870210388548895,0.0402154450412985,0.5605131065253764,-0.3402061855670102,3.535,raw,rsi_distance,fail_20p,fwd_60m
1008,-0.003173459088233518,-0.0018666911916428502,0.041048193883002605,-0.01147776971934685,0.004823604583898725,-0.03023489595908005,0.0167030567123612,0.40773809523809523,-0.2413381123058542,0.5124999999999998,raw,rsi_distance,fail_2_5,fwd_60m
1497,-0.001956917849397881,-0.0018796992481203,0.0565706042942723,-0.0110178384050365,0.0053171287504747,-0.02642687766142232,0.016557308600894025,0.40681362725450904,-0.5387488415199259,1.3644444444444446,raw,rsi_distance,fail_5_10,fwd_60m
6454,-0.00390794675806069,-0.00216574543299515,0.03726200651383376,-0.009701346648966425,0.0028901372026422,-0.02486805438270558,0.01108380435853232,0.35807251317012706,-0.511090573012939,0.7466666666666667,raw,rsi_distance,passing_side,fwd_60m
3998,-0.0023955445604479323,-0.0016539782783666001,0.037325634317474425,-0.00908254275882715,0.004241639189825675,-0.02504100625400204,0.01556602681784085,0.39394697348674335,-0.511090573012939,0.7466666666666667,raw,sma_spread_distance,fail_0.25_1,fwd_60m
3150,-0.0003197190114135838,-0.00124487881431795,0.10258673765137281,-0.013187608283885524,0.005855691347664275,-0.03622619591198237,0.022890025575447507,0.4053968253968254,-0.4358974358974358,3.535,raw,sma_spread_distance,fail_0_0.25,fwd_60m
